City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Annau,TM,37.89,58.52,69.8,35,0,4.7,clear sky
1,Rikitea,PF,-23.12,-134.97,69.28,66,0,5.77,clear sky
2,Kuching,MY,1.55,110.33,77.0,94,20,2.24,few clouds
3,Hobart,AU,-42.88,147.33,57.99,58,75,13.87,broken clouds
4,Ushuaia,AR,-54.8,-68.3,33.8,94,90,11.41,light snow
5,Stutterheim,ZA,-32.57,27.42,43.63,83,48,3.42,scattered clouds
6,Hermanus,ZA,-34.42,19.23,48.0,90,37,4.0,moderate rain
7,High Level,CA,58.52,-117.14,60.8,77,75,14.99,broken clouds
8,Ostrovnoy,RU,68.05,39.51,48.58,66,74,11.43,broken clouds
9,Tiarei,PF,-17.53,-149.33,82.4,65,20,10.29,few clouds
10,Ketchikan,US,55.34,-131.65,55.4,87,75,16.11,light rain
11,Santiago Del Estero,AR,-27.8,-64.26,66.6,70,4,4.59,clear sky
12,Teknaf,BD,20.86,92.31,78.55,89,58,3.74,broken clouds
13,Haines Junction,CA,60.75,-137.51,47.68,84,100,2.28,light rain
14,Charters Towers,AU,-20.1,146.27,69.24,48,1,19.75,clear sky
15,Cape Town,ZA,-33.93,18.42,50.0,81,90,16.11,moderate rain
16,East London,ZA,-33.02,27.91,59.86,69,38,5.37,scattered clouds
17,Ilulissat,GL,69.22,-51.1,46.4,45,86,8.05,overcast clouds
18,Avarua,CK,-21.21,-159.78,77.0,69,22,13.87,few clouds
19,Saint-Philippe,RE,-21.36,55.77,68.0,72,35,3.36,light rain
20,Port Alfred,ZA,-33.59,26.89,56.77,69,0,9.08,clear sky
21,Gotsu,JP,35.0,132.22,84.2,74,20,5.82,few clouds
22,Vaini,TO,-21.2,-175.2,78.8,74,75,11.41,broken clouds
23,Octeville,FR,49.63,-1.64,57.99,87,94,14.99,overcast clouds
24,San Patricio,MX,19.22,-104.7,84.2,51,75,11.41,broken clouds
25,Saldanha,ZA,-33.01,17.94,48.2,87,52,4.7,moderate rain
26,Ekhabi,RU,53.51,142.97,58.91,71,0,12.77,light rain
27,Vostok,RU,46.49,135.88,57.92,99,100,6.73,overcast clouds
28,Togur,RU,58.36,82.83,51.62,95,54,5.86,broken clouds
29,Nikolskoye,RU,59.7,30.79,55.99,93,40,2.24,scattered clouds
30,Albany,US,42.6,-73.97,70.0,81,65,1.92,broken clouds
31,Mataura,NZ,-46.19,168.86,45.0,72,35,11.01,scattered clouds
32,Key West,US,24.56,-81.78,89.6,70,1,9.17,clear sky
33,Gunjur,GM,13.2,-16.73,78.8,94,20,3.36,few clouds
34,Thompson,CA,55.74,-97.86,59.0,82,75,6.93,broken clouds
35,Tasiilaq,GL,65.61,-37.64,42.8,93,100,2.24,light intensity shower rain
36,Erie,US,42.77,-78.67,71.6,73,90,6.93,overcast clouds
37,Bogalusa,US,30.79,-89.85,80.6,83,1,3.36,clear sky
38,Udupi,IN,13.35,74.75,75.2,100,40,3.36,mist
39,Kapaa,US,22.08,-159.32,84.2,70,1,11.41,clear sky
40,Matai,TZ,-8.3,31.52,58.73,56,29,4.88,scattered clouds
41,Kaseda,JP,31.42,130.32,84.0,88,20,2.24,few clouds
42,Acapulco,MX,16.86,-99.89,84.2,74,75,9.17,broken clouds
43,Maldonado,UY,-34.67,-54.92,60.8,93,75,1.12,broken clouds
44,Maymyo,MM,22.03,96.47,82.4,83,75,5.82,light rain
45,San Cristobal,VE,7.77,-72.22,82.4,69,40,11.41,scattered clouds
46,Segamat,MY,2.51,102.82,77.0,88,20,1.66,few clouds
47,Komsomolskiy,UZ,40.43,71.72,64.4,63,0,6.93,clear sky
48,Amberley,US,39.2,-84.43,79.0,88,1,3.36,clear sky
49,Te Anau,NZ,-45.42,167.72,45.79,76,63,10.11,broken clouds
50,Khatanga,RU,71.97,102.5,58.69,50,8,5.77,clear sky
51,Hailun,CN,47.45,126.93,60.71,91,100,16.64,overcast clouds
52,Hilo,US,19.73,-155.09,84.2,54,75,8.05,broken clouds
53,Mar Del Plata,AR,-38.0,-57.56,55.99,93,75,5.82,mist
54,Tamworth,GB,52.63,-1.7,50.0,87,75,16.11,light rain
55,Dunedin,NZ,-45.87,170.5,52.09,56,25,3.29,scattered clouds
56,Cockburn Town,TC,21.46,-71.14,82.96,81,1,16.44,clear sky
57,Punta Arenas,CL,-53.15,-70.92,32.0,90,12,20.8,few clouds
58,Provideniya,RU,64.38,-173.3,51.8,76,75,6.71,broken clouds
59,Belmonte,BR,-15.86,-38.88,73.4,83,75,5.82,broken clouds
60,Yendi,GH,9.44,-0.01,72.9,92,84,6.44,broken clouds
61,Puerto Ayora,EC,-0.74,-90.35,65.57,85,46,9.62,scattered clouds
62,Dingle,PH,11.0,122.67,81.1,81,100,5.5,overcast clouds
63,Moree,AU,-29.47,149.85,59.0,54,0,9.17,clear sky
64,Port Hardy,CA,50.7,-127.42,60.8,72,90,10.29,overcast clouds
65,Northam,GB,51.03,-4.22,55.0,77,83,8.99,broken clouds
66,Buchanan,LR,5.88,-10.05,76.33,85,100,10.04,overcast clouds
67,Ponta Do Sol,PT,32.67,-17.1,75.2,69,20,11.41,few clouds
68,Flinders,AU,-34.58,150.86,64.0,50,0,4.0,clear sky
69,Urucui,BR,-7.23,-44.56,79.12,37,29,2.77,scattered clouds
70,Atuona,PF,-9.8,-139.03,78.06,79,63,21.59,light rain
71,Vardo,NO,70.37,31.11,48.15,71,25,6.96,scattered clouds
72,Georgetown,MY,5.41,100.34,78.8,88,20,2.24,few clouds
73,Hofn,IS,64.25,-15.21,51.93,60,36,5.37,scattered clouds
74,Lucea,JM,18.45,-78.17,86.0,84,40,10.29,scattered clouds
75,Jalu,LY,29.03,21.55,78.17,61,0,10.83,clear sky
76,Lexington,US,37.99,-84.48,75.2,94,75,11.41,mist
77,Kaitangata,NZ,-46.28,169.85,52.81,55,69,16.87,broken clouds
78,Luganville,VU,-15.53,167.17,76.06,91,100,13.24,heavy intensity rain
79,Bredasdorp,ZA,-34.53,20.04,50.0,76,4,9.17,light rain
80,Kodiak,US,57.79,-152.41,59.04,66,0,3.09,clear sky
81,Arraial Do Cabo,BR,-22.97,-42.03,71.6,78,0,13.87,clear sky
82,Rawson,AR,-43.3,-65.1,45.59,50,64,18.43,broken clouds
83,Paltinis,RO,48.22,26.65,59.0,80,45,5.68,light rain
84,Nanortalik,GL,60.14,-45.24,49.35,75,100,18.28,light rain
85,Busselton,AU,-33.65,115.33,48.99,74,14,11.43,few clouds
86,Ribeira Grande,PT,38.52,-28.7,74.46,94,15,10.33,few clouds
87,Akonolinga,CM,3.77,12.25,67.39,97,100,6.53,moderate rain
88,Tsumeb,NA,-19.23,17.72,64.9,28,15,15.57,few clouds
89,New Norfolk,AU,-42.78,147.06,57.99,59,100,5.01,overcast clouds
90,Petrovskaya,RU,45.43,37.95,62.6,100,40,6.71,scattered clouds
91,Nola,IT,40.92,14.53,75.99,83,0,1.52,clear sky
92,Pauini,BR,-7.71,-66.98,83.7,47,77,1.7,broken clouds
93,Tuktoyaktuk,CA,69.45,-133.04,51.8,62,20,11.41,few clouds
94,Riyadh,SA,24.69,46.72,84.2,28,100,2.24,overcast clouds
95,Safaga,EG,26.73,33.94,86.0,28,0,10.29,clear sky
96,Kembe,CF,4.62,21.89,69.42,96,100,3.98,overcast clouds
97,Castro,BR,-24.79,-50.01,58.71,81,0,2.48,clear sky
98,Evensk,RU,61.95,159.23,52.79,67,49,13.42,scattered clouds
99,Inhambane,MZ,-23.86,35.38,71.01,90,1,13.62,clear sky
100,Labuhan,ID,-6.88,112.21,78.1,79,7,10.09,clear sky
101,Eureka,US,40.8,-124.16,66.0,43,1,1.01,clear sky
102,Chuy,UY,-33.7,-53.46,56.08,98,42,4.41,scattered clouds
103,Hazorasp,UZ,41.32,61.07,66.2,48,0,2.24,clear sky
104,Bambous Virieux,MU,-20.34,57.76,71.6,78,40,8.05,scattered clouds
105,Saint-Pierre,RE,-21.34,55.48,68.0,72,37,3.36,scattered clouds
106,Yuancheng,CN,36.65,107.79,68.49,75,63,10.16,broken clouds
107,Chicama,PE,-7.84,-79.15,61.88,84,10,6.76,clear sky
108,Dikson,RU,73.51,80.55,48.29,81,82,6.44,broken clouds
109,Hobyo,SO,5.35,48.53,76.46,83,95,23.73,overcast clouds
110,Kavaratti,IN,10.57,72.64,81.7,78,100,12.8,overcast clouds
111,Constitucion,CL,-35.33,-72.42,51.08,90,100,12.5,light rain
112,Katsuura,JP,35.13,140.3,89.6,70,20,13.87,few clouds
113,Saint George,US,37.1,-113.58,102.2,10,1,19.46,clear sky
114,Camacha,PT,33.08,-16.33,73.4,88,40,11.41,scattered clouds
115,Semey,KZ,50.41,80.23,50.0,100,40,4.47,fog
116,Ixtapa,MX,20.7,-105.2,84.2,70,75,4.7,broken clouds
117,Bethel,US,41.37,-73.41,75.0,78,40,3.36,scattered clouds
118,Jeremie,HT,18.65,-74.12,82.83,77,19,1.77,few clouds
119,Huarmey,PE,-10.07,-78.15,62.31,83,10,10.16,clear sky
120,Baker City,US,44.77,-117.83,82.4,24,1,9.17,haze
121,Kruisfontein,ZA,-34.0,24.73,49.44,90,7,11.34,clear sky
122,Longyearbyen,SJ,78.22,15.64,32.0,92,90,3.36,overcast clouds
123,Wilmington,US,34.23,-77.94,84.0,87,100,9.8,overcast clouds
124,Reconquista,AR,-29.15,-59.65,67.23,89,26,5.66,scattered clouds
125,Yueyang,CN,29.33,113.09,79.38,74,0,3.96,clear sky
126,Morant Bay,JM,17.88,-76.41,86.0,84,20,17.22,few clouds
127,Bluff,NZ,-46.6,168.33,45.0,72,91,11.01,overcast clouds
128,Sorland,NO,67.67,12.69,48.4,63,47,6.73,scattered clouds
129,Mayahi,NE,13.96,7.67,79.52,64,40,14.38,scattered clouds
130,Ancud,CL,-41.87,-73.82,39.99,71,40,9.17,scattered clouds
131,Qaanaaq,GL,77.48,-69.36,40.05,88,100,4.07,overcast clouds
132,Xai-Xai,MZ,-25.05,33.64,72.93,64,13,13.47,few clouds
133,Luena,AO,-11.78,19.92,60.69,94,69,3.69,broken clouds
134,Basco,PH,20.45,121.97,84.07,81,96,15.88,moderate rain
135,Waitati,NZ,-45.75,170.57,55.15,54,14,3.98,light rain
136,Palghar,IN,19.68,72.75,78.8,94,90,9.17,moderate rain
137,Cabo San Lucas,MX,22.89,-109.91,79.0,88,90,3.36,overcast clouds
138,Chukhloma,RU,58.75,42.68,53.02,96,2,1.72,clear sky
139,Klaksvik,FO,62.23,-6.59,46.4,87,78,1.12,broken clouds
140,Dong Hoi,VN,17.48,106.6,81.59,79,94,5.59,overcast clouds
141,Severo-Kurilsk,RU,50.68,156.12,52.81,79,59,10.22,broken clouds
142,Butaritari,KI,3.07,172.79,82.27,74,99,15.14,overcast clouds
143,Jamestown,US,42.1,-79.24,72.0,88,75,11.41,broken clouds
144,Necochea,AR,-38.55,-58.74,48.99,90,48,1.99,scattered clouds
145,San Buenaventura,MX,27.08,-101.53,99.75,27,7,17.83,clear sky
146,Waipawa,NZ,-41.41,175.52,57.99,67,45,23.04,scattered clouds
147,Lorengau,PG,-2.02,147.27,84.45,74,100,14.25,light rain
148,Miri,MY,4.41,114.01,75.2,100,40,3.36,scattered clouds
149,Suntar,RU,62.14,117.63,56.3,54,100,6.96,overcast clouds
150,Cidreira,BR,-30.18,-50.21,64.83,78,78,8.95,broken clouds
151,Soe,ID,-9.86,124.28,72.81,52,24,8.14,few clouds
152,Sakakah,SA,29.97,40.21,86.0,13,0,9.17,clear sky
153,Lebu,CL,-37.62,-73.65,45.01,82,91,21.18,overcast clouds
154,Decatur,US,39.84,-88.95,87.8,58,1,3.36,clear sky
155,Los Andes,CL,-32.83,-70.6,51.8,66,75,3.36,broken clouds
156,Vieux-Habitants,GP,16.06,-61.77,82.4,78,75,6.93,broken clouds
157,Iqaluit,CA,63.75,-68.51,48.2,66,75,2.24,broken clouds
158,Saint-Augustin,CA,51.23,-58.65,52.54,74,57,12.57,broken clouds
159,Portland,US,45.52,-122.68,84.99,37,1,8.05,clear sky
160,Norman Wells,CA,65.28,-126.83,51.8,66,90,11.41,overcast clouds
161,Bandar-E Lengeh,IR,26.56,54.88,88.9,67,77,17.9,broken clouds
162,Chhindwara,IN,22.07,78.93,70.86,97,100,12.93,heavy intensity rain
163,San Vicente,AR,-26.62,-54.13,67.26,71,8,2.93,clear sky
164,Baglung,NP,28.27,83.59,68.95,80,83,1.83,broken clouds
165,Sinop,TR,41.77,34.87,64.83,31,0,5.57,clear sky
166,Cabedelo,BR,-6.98,-34.83,75.2,94,78,5.82,broken clouds
167,Tuy Hoa,VN,13.08,109.3,81.43,74,82,10.22,broken clouds
168,Torbay,CA,47.67,-52.73,59.0,76,75,16.11,broken clouds
169,Geraldton,AU,-28.77,114.6,51.8,93,90,4.7,overcast clouds
170,Port Elizabeth,ZA,-33.92,25.57,55.4,82,1,10.29,light rain
171,Torbat-E Jam,IR,35.24,60.62,61.84,31,0,13.44,clear sky
172,Fortuna,US,40.6,-124.16,64.0,77,1,16.11,clear sky
173,Kilindoni,TZ,-7.91,39.67,76.21,80,77,12.97,broken clouds
174,Mount Isa,AU,-20.73,139.5,75.2,22,0,17.22,clear sky
175,Ron Phibun,TH,8.18,99.85,78.8,94,20,3.6,few clouds
176,Kapit,MY,2.02,112.93,77.31,91,95,0.2,overcast clouds
177,Naze,JP,28.37,129.48,86.0,89,20,10.29,few clouds
178,Pimenta Bueno,BR,-11.67,-61.19,89.06,33,85,1.21,overcast clouds
179,Algiers,DZ,36.75,3.04,73.4,83,0,3.36,clear sky
180,Talnakh,RU,69.49,88.4,53.6,71,56,11.18,broken clouds
181,Isla Mujeres,MX,21.23,-86.73,87.8,74,40,13.87,scattered clouds
182,Pacific Grove,US,36.62,-121.92,70.0,60,1,10.29,clear sky
183,Xining,CN,36.62,101.77,58.17,74,100,5.97,moderate rain
184,Porto Novo,BJ,6.5,2.6,77.0,88,75,12.75,broken clouds
185,Port Hedland,AU,-20.32,118.57,71.6,46,14,4.7,few clouds
186,Riohacha,CO,11.54,-72.91,84.51,72,2,12.01,clear sky
187,Port Lincoln,AU,-34.73,135.87,62.06,45,0,22.26,clear sky
188,Peniche,PT,39.36,-9.38,66.99,78,39,10.0,scattered clouds
189,Ugoofaaru,MV,5.67,73.0,83.03,70,71,10.89,broken clouds
190,Gat,IL,31.61,34.76,79.0,24,0,2.42,clear sky
191,Nouadhibou,MR,20.93,-17.03,77.0,88,75,6.93,broken clouds
192,Salar,ES,37.15,-4.02,79.0,47,29,6.93,scattered clouds
193,Isangel,VU,-19.55,169.27,79.5,72,23,12.1,few clouds
194,Escarcega,MX,18.61,-90.75,80.33,89,99,3.36,overcast clouds
195,Victoria,HK,22.29,114.16,86.0,79,60,3.89,broken clouds
196,Aklavik,CA,68.22,-135.01,55.4,54,40,6.93,scattered clouds
197,Jurm,AF,36.86,70.83,55.36,57,0,0.36,clear sky
198,Bengkulu,ID,-3.8,102.27,76.39,81,94,5.26,overcast clouds
199,Ambilobe,MG,-13.2,49.05,63.48,82,13,4.56,few clouds
200,Ondangwa,NA,-17.92,15.95,64.4,42,6,4.7,clear sky
201,Salalah,OM,17.02,54.09,75.2,100,90,3.36,heavy intensity drizzle
202,Kazanskaya,RU,45.41,40.44,62.65,92,2,6.13,clear sky
203,Hirara,JP,24.8,125.28,84.2,83,75,8.05,broken clouds
204,Lobau,DE,51.1,14.67,61.0,97,100,3.0,light rain
205,Prince Rupert,CA,54.32,-130.32,60.8,67,40,8.05,scattered clouds
206,Mackay,AU,-21.15,149.2,71.01,73,75,16.11,broken clouds
207,Igunga,TZ,-4.28,33.88,65.35,54,4,3.33,clear sky
208,Tiksi,RU,71.69,128.87,44.65,77,39,12.39,scattered clouds
209,Pisco,PE,-13.7,-76.22,63.0,82,40,14.99,scattered clouds
210,Tabora,TZ,-5.02,32.8,62.58,46,24,3.6,few clouds
211,Suhbaatar,MN,50.23,106.21,56.3,78,100,2.44,overcast clouds
212,Carnarvon,AU,-24.87,113.63,60.8,100,75,9.17,broken clouds
213,Port-Gentil,GA,-0.72,8.78,77.0,88,90,14.2,overcast clouds
214,Kasongo-Lunda,CD,-6.47,16.82,75.29,75,81,2.57,light rain
215,Faya,SA,18.39,42.45,69.8,88,6,6.93,clear sky
216,Hervey Bay,AU,-25.3,152.85,69.8,49,2,14.99,clear sky
217,Aksarka,RU,66.56,67.8,52.14,87,100,14.32,overcast clouds
218,Sitka,US,57.05,-135.33,55.4,76,90,6.93,light rain
219,Pitimbu,BR,-7.47,-34.81,75.2,94,63,5.82,broken clouds
220,Mamallapuram,IN,12.63,80.17,82.4,88,40,5.82,mist
221,Tagusao,PH,9.19,117.81,82.56,75,64,3.38,broken clouds
222,Saskylakh,RU,71.92,114.08,59.99,47,0,4.03,clear sky
223,Shubarkuduk,KZ,49.14,56.49,73.2,27,94,8.97,overcast clouds
224,Nador,MA,35.17,-2.93,82.4,51,0,11.41,clear sky
225,Yarmouth,US,41.71,-70.23,75.0,78,20,8.05,few clouds
226,Saint-Francois,FR,46.42,3.91,59.0,77,83,3.36,broken clouds
227,Darnah,LY,32.77,22.64,76.44,81,0,11.23,clear sky
228,Upernavik,GL,72.79,-56.15,39.78,73,0,15.35,clear sky
229,Salinopolis,BR,-0.61,-47.36,79.54,84,79,11.63,broken clouds
230,Porto Nacional,BR,-10.71,-48.42,87.8,35,66,5.82,broken clouds
231,Murray Bridge,AU,-35.12,139.27,64.99,47,0,15.57,clear sky
232,Chegutu,ZW,-18.13,30.14,64.06,60,0,6.51,clear sky
233,Wajir,KE,1.75,40.06,72.55,76,27,14.27,scattered clouds
234,Tuatapere,NZ,-46.13,167.68,45.0,72,59,11.01,broken clouds
235,Chokurdakh,RU,70.63,147.92,42.17,77,98,9.35,overcast clouds
236,Bathsheba,BB,13.22,-59.52,82.4,74,20,19.46,few clouds
237,Airai,TL,-8.93,125.41,67.32,58,26,5.86,scattered clouds
